# Octopus per-turn geometric emittance, aspect=1.0 xi=0.005
turn	ex	ey
3376	2.0435266622210656e-8	2.0435464730856366e-8
3384	2.0436550778752194e-8	2.0433803587139803e-8
3392	2.043654479541095e-8	2.043384250985065e-8
3400	2.0435480278119786e-8	2.0435737730394298e-8
3408	2.043439718462669e-8	2.043728626029274e-8
3416	2.043434956176764e-8	2.0436351570157343e-8
3424	2.0435579417237868e-8	2.0436196170665904e-8
3432	2.0437129962165554e-8	2.0433291216929653e-8
3440	2.0437180094522224e-8	2.0434083374878213e-8
3448	2.0435892142776245e-8	2.043470603904783e-8
3456	2.0434439934052706e-8	2.043632607777996e-8
3464	2.043414167964367e-8	2.0436653409725267e-8
3472	2.0435127450983136e-8	2.0435757054485544e-8
3480	2.043664452035087e-8	2.0433476395039128e-8
3488	2.0437180271117675e-8	2.0432599066948468e-8
3496	2.0435935333960167e-8	2.0435159163796983e-8
3504	2.0434156818396262e-8	2.0435427562513986e-8
3512	2.0433589131015163e-8	2.043544685634716e-8
3520	2.0434566316646444e-8	2.043588529731707e-8
3528	2.0436011874262074e-8	2.0434075610375003e-8
3536	2.043660104718866e-8	2.043179830097885e-8
3544	2.0435661155889667e-8	2.0433152013406004e-8
3552	2.043389789395955e-8	2.0435993156053187e-8
3560	2.043294345893419e-8	2.0435357973580575e-8
3568	2.043390529728122e-8	2.0434312548952e-8
3576	2.0435678398851753e-8	2.0434571735945214e-8
3584	2.0436465182009236e-8	2.043245598312639e-8
3592	2.0435678718413544e-8	2.0432026511054016e-8
3600	2.0434086917423662e-8	2.043430722256119e-8
3608	2.043312156851632e-8	2.0436357117823295e-8
3616	2.0434045840376113e-8	2.0434494922989583e-8
3624	2.0435985220362418e-8	2.0433197450726916e-8
3632	2.0436926852676155e-8	2.0432714199306882e-8
3640	2.0436306147993663e-8	2.043204214559742e-8
3648	2.043490854217809e-8	2.0433316075620885e-8
3656	2.043397250322125e-8	2.043517227937772e-8
3664	2.0434457642599236e-8	2.043576683904333e-8
3672	2.0436183571787477e-8	2.0432470286244648e-8
3680	2.043734677566776e-8	2.043201993018523e-8
3688	2.0436812785268062e-8	2.043228925666674e-8
3696	2.04353301720682e-8	2.0433217524115074e-8
3704	2.043425072283043e-8	2.04349632372717e-8
3712	2.0434453836474988e-8	2.043541697801979e-8
3720	2.043573656292965e-8	2.0434549039425667e-8
3728	2.043689748308565e-8	2.0430718399339922e-8
3736	2.0436767970621422e-8	2.043217238102486e-8
3744	2.0435326025546056e-8	2.0433272921769247e-8
3752	2.043403986139869e-8	2.0434932088257874e-8
3760	2.043397623631931e-8	2.0434905052638522e-8
3768	2.0435140189435784e-8	2.043460749941115e-8
3776	2.0436426739355514e-8	2.0431933152220637e-8
3784	2.0436638852088348e-8	2.043129317662915e-8
3792	2.0435517403719467e-8	2.0432913862935912e-8
3800	2.0434032198875064e-8	2.0434847435065283e-8
3808	2.0433408809724712e-8	2.0434230920422744e-8
3816	2.0434031639587673e-8	2.0433795074840103e-8
3824	2.043520239802281e-8	2.043260544236831e-8
3832	2.0435793993827852e-8	2.043118961914164e-8
3840	2.0435200683159294e-8	2.0432657366594644e-8
3848	2.0434067274220065e-8	2.0433483375014805e-8
3856	2.0433509442628345e-8	2.04341088566651e-8
3864	2.0433843612621012e-8	2.043348149875961e-8
3872	2.0434704505085236e-8	2.0432229099355655e-8
3880	2.043527937669846e-8	2.0432514976161637e-8
3888	2.0434893990185618e-8	2.043184309688443e-8
3896	2.043399656976235e-8	2.04328015554145e-8
3904	2.043349157590302e-8	2.0433597990335255e-8
3912	2.0433582400417652e-8	2.043322032668591e-8
3920	2.0434100632466613e-8	2.0432569112970425e-8
3928	2.0434682892746156e-8	2.0432317856095243e-8
3936	2.0434610179764302e-8	2.0432841976010963e-8
3944	2.0433846567321797e-8	2.043225174941565e-8
3952	2.043327388819049e-8	2.043262682451153e-8
3960	2.0433210736360336e-8	2.0434376669747863e-8
3968	2.0433576455171428e-8	2.0432545825351225e-8
3976	2.043419586069122e-8	2.0432714448376077e-8
3984	2.0434388765326062e-8	2.0431897081537222e-8
3992	2.0434014926643867e-8	2.043215483328268e-8
4000	2.043376032012317e-8	2.0432951124496806e-8
4008	2.043371210954007e-8	2.0433281232266614e-8
4016	2.0433884233692356e-8	2.0433984949491834e-8
4024	2.043456087557539e-8	2.0432586076893666e-8
4032	2.0435262635640164e-8	2.0431568429285825e-8
4040	2.043512630550041e-8	2.04316841842306e-8
4048	2.0434750485643065e-8	2.0432422192270546e-8
4056	2.0434576540470122e-8	2.0433755449299218e-8
4064	2.0434426086938065e-8	2.043340159631067e-8
4072	2.0434723549256915e-8	2.0433100735261696e-8
4080	2.0435486155297102e-8	2.0432072352958808e-8
4088	2.043576252851943e-8	2.0430964417552122e-8
